,scrape_id,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90
minimum_minimum_nights,,-0.09852774658411463,-0.10911652944192655,-0.0274979790657458,-0.026693426532965893,,-0.033239468754105266,-0.04880276991681002,-0.03829583038689748,-0.04155664010168482,-0.02862251403460727,0.008470770825815882,0.12203586820552102,0.9084533789247606,0.1613029169531457,1.0,0.13078014488919582,0.06458884847022692,0.03869282506354341,0.9975260859055024,0.051210828525072305,,0.18730019453371544,0.15831196578468182,0.1450160353218553
maximum_minimum_nights,,-0.0570573143270368,-0.005686559781098098,-0.007639857887480301,-0.01006697458685974,,-0.05291199706694216,-0.036202703998718694,-0.00577182793968906,-0.04297545665724908,-0.047126819245573624,0.0023606274434400075,0.02270142956087956,0.12394061253613191,0.02199503442150294,0.13078014488919582,1.0,-0.05116602992270791,0.06062902198476672,0.16519824981364015,-0.05443114055935306,,0.014600215022683827,0.02876094674513086,0.04361399439903322
minimum_maximum_nights,,-0.009067161177472877,0.11108277428203933,-0.07770591563363542,-0.09386296755872388,,0.05856049331864651,0.09439142705650425,0.03183041781706255,-0.05728771408721982,-0.007890973542112734,0.03230388878761196,-0.10184007033779874,0.09248458936400494,0.393498085856538,0.06458884847022692,-0.05116602992270791,1.0,0.8804715787387325,0.05822491755053569,0.9503412138271052,,-0.08691730746894467,-0.0795873596955982,-0.0743107971001396
maximum_maximum_nights,,-0.05570555120060333,0.1122643712582277,0.0055890505303601064,0.028591890437590597,,0.059408363253320697,0.10098676755047771,-0.01894265773425402,-0.08353587939412241,-0.04432854758203494,-0.0054019112525688735,0.020671099345207306,0.08531046273922602,0.5068127882675582,0.03869282506354341,0.06062902198476672,0.8804715787387325,1.0,0.04386350651850865,0.959258446010975,,-0.17038842274704713,-0.15560110448418316,-0.14863311149332578
minimum_nights_avg_ntm,,-0.11861753788783312,-0.11700506775610695,-0.028479672225880527,-0.02682473364830766,,-0.03158624696902491,-0.05665780284199372,-0.03699190775189766,-0.0442483170379426,-0.031026698467496384,0.008125831632151423,0.12167857699482705,0.9162340496983412,0.1645275339211188,0.9975260859055024,0.16519824981364015,0.05822491755053569,0.04386350651850865,1.0,0.04902422350423126,,0.18209800711117363,0.15460372483826035,0.14269174784683822
maximum_nights_avg_ntm,,-0.04541229547387688,0.10247191970745194,-0.045099662834249904,-0.05937567814096931,,0.05724412839359117,0.09533748711428897,-0.00770829166062227,-0.0779042190945627,-0.03749851684660972,0.0015188110273151505,-0.03552732215747972,0.09065078243135864,0.4538464948692464,0.051210828525072305,-0.05443114055935306,0.9503412138271052,0.959258446010975,0.04902422350423126,1.0,,-0.13764639027385958,-0.13502266354111223,-0.1343839329911759
calendar_updated,,,,,,,,,,,,,,,,,,,,,,,,,
availability_30,,-0.05251343484075961,-0.18746921722170162,0.04528443161890063,0.006247159651768302,,-0.030172402787219447,-0.005235617312882287,-0.08562910419195896,-0.0012404624364518127,-0.0679950584370128,-0.02313115605774402,0.04055424908222767,0.15740723806128232,-0.1491876003222886,0.18730019453371544,0.014600215022683827,-0.08691730746894467,-0.17038842274704713,0.18209800711117363,-0.13764639027385958,,1.0,0.9365554011988373,0.8938188436870054
availability_60,,-0.030574141103713388,-0.17256119855662108,0.0368568714713995,0.0020431829397031006,,-0.04125533427642833,-0.0050275732342168694,-0.08574543850652663,-0.010963758510279767,-0.08062385816873827,-0.03505641558533604,0.017431143799005334,0.135031521549698,-0.15330550317021124,0.15831196578468182,0.02876094674513086,-0.0795873596955982,-0.15560110448418316,0.15460372483826035,-0.13502266354111223,,0.9365554011988373,1.0,0.9740784749951327
availability_90,,-0.03308786728658772,-0.16088671206177776,0.03802800696449028,0.012091102130362592,,-0.028854273729875955,0.016112452678126978,-0.053360747047666336,0.0030568694354299987,-0.05789505510061634,-0.015304909141613766,0.0003409047901397918,0.12643173965103274,-0.15473685781839577,0.1450160353218553,0.04361399439903322,-0.0743107971001396,-0.14863311149332578,0.14269174784683822,-0.1343839329911759,,0.8938188436870054,0.9740784749951327,1.0
